MIN    MAX    EFFECTLEVEL    Gain   VOICEEFFECTLEVEL	AudioFocusWidth
0      1.49   0                	0      100				60
1.50   2.49   50               	0      100				30
2.5    3.49   100               0      100				30
3.5    4.49   100               0      100				30
4.5    5.49   100               0      100				30
5.5    6.49   100               0      100				30
6.5    7.49   100               0      100				30
7.5    8.49   100               0      100				30
8.5    9.49   100               0      100				30
9.5    10.0   100              	0      100				30
